@relation shuttle-c0-vs-c4-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute A1 {'\'(-inf-71]\'','\'(71-inf)\''}
@attribute A2 {'\'All\''}
@attribute A3 {'\'(-inf-82.5]\'','\'(82.5-inf)\''}
@attribute A4 {'\'All\''}
@attribute A5 {'\'(-inf--26]\'','\'(-26-7]\'','\'(7-69]\'','\'(69-inf)\''}
@attribute A6 {'\'All\''}
@attribute A7 {'\'(-inf-13]\'','\'(13-inf)\''}
@attribute A8 {'\'(-inf-38.5]\'','\'(38.5-82.5]\'','\'(82.5-85.5]\'','\'(85.5-104]\'','\'(104-inf)\''}
@attribute A9 {'\'(-inf-27]\'','\'(27-37]\'','\'(37-70]\'','\'(70-inf)\''}
@attribute Class {positive,negative}

@data
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(-26-7]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(27-37]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(-26-7]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(37-70]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(82.5-85.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(27-37]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(-26-7]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(37-70]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(27-37]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(27-37]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(27-37]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(38.5-82.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(-inf-82.5]\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
'\'(-inf-71]\'','\'All\'','\'(82.5-inf)\'','\'All\'','\'(7-69]\'','\'All\'','\'(13-inf)\'','\'(-inf-38.5]\'','\'(-inf-27]\'',negative
